svs_file,y,COMPOUND_NAME,pair_svs_file,failure
4438.svs,1,allyl alcohol,4440.svs,tissue vs background segmentation failure
4869.svs,1,omeprazole,4867.svs,"tissue vs background segmentation failure, pen marking misdetected as tissue"
5855.svs,0,benzbromarone,5859.svs,tissue vs background segmentation failure
6249.svs,0,hexachlorobenzene,6258.svs,tissue vs background segmentation failure
6358.svs,0,hexachlorobenzene,6359.svs,tissue vs background segmentation failure
6542.svs,0,diazepam,6539.svs,tissue vs background segmentation failure
15500.svs,0,vitamin A,15530.svs,tissue vs background segmentation failure
15537.svs,1,vitamin A,15544.svs,tissue vs background segmentation failure
15644.svs,1,vitamin A,15635.svs,tissue vs background segmentation failure
28071.svs,0,acetaminophen,28067.svs,tissue vs background segmentation failure
36219.svs,0,ethambutol,36206.svs,"tissue vs background segmentation failure, blurry tissue misdetected as background"
15552.svs,0,vitamin A,15568.svs,tissue misdetected as hole
26124.svs,1,carbon tetrachloride,26126.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
26126.svs,0,carbon tetrachloride,26124.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
26129.svs,1,carbon tetrachloride,26131.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
26131.svs,0,carbon tetrachloride,26129.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
27217.svs,0,acetaminophen,27225.svs,"tissue misdetected as hole, black point in tissue misdetected as hole"
27368.svs,0,omeprazole,27363.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
27501.svs,0,omeprazole,27505.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
27505.svs,1,omeprazole,27501.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
30716.svs,1,sulfasalazine,30714.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
30747.svs,1,sulfasalazine,30750.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
30750.svs,0,sulfasalazine,30747.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
30752.svs,0,sulfasalazine,30756.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
30842.svs,0,sulfasalazine,30847.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
31163.svs,1,cimetidine,31164.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
31793.svs,0,cyclophosphamide,31800.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
31800.svs,1,cyclophosphamide,31793.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
31812.svs,1,cyclophosphamide,31816.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
31816.svs,0,cyclophosphamide,31812.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
32079.svs,1,azathioprine,32085.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
32085.svs,0,azathioprine,32079.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
32170.svs,1,azathioprine,32164.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
32174.svs,0,azathioprine,32178.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
32178.svs,1,azathioprine,32174.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
32324.svs,0,lomustine,32327.svs,"tissue misdetected as hole, tissue vs background segmentation failure"
